                                 enable  prepare  protect                                duty  hardware                            connection
   clock                          count    count    count        rate   accuracy phase  cycle    enable   consumer                         id
                         cpupll_25m  0       0        0        25000000    0          0     50000      Y                           deviceless                      no_connection_id         
             cpupll_1200m            0       0        0        1200000000  0          0     50000      Y               deviceless                      no_connection_id         
                clk_cpu_sel          0       0        0        1200000000  0          0     50000      Y                  deviceless                      no_connection_id         
       cpll_1248m                    1       1        0        1248000000  0          0     50000      Y         deviceless                      no_connection_id         
          cpll_249p6m                0       0        0        249600000   0          0     50000      Y            deviceless                      no_connection_id         
             cpll_49p92m             0       0        0        49920000    0          0     50000      Y               deviceless                      no_connection_id         
          cpll_416m                  0       0        0        416000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_dispc_glb_sel       0       0        0        416000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_dsi_sys_eb       0       0        0        416000000   0          0     50000      N                  deviceless                      no_connection_id         
                pclk_csi_eb          0       0        0        416000000   0          0     50000      N                  deviceless                      no_connection_id         
                pclk_dsi_eb          0       0        0        416000000   0          0     50000      N                  deviceless                      no_connection_id         
                pclk_lvds_tx_eb      0       0        0        416000000   0          0     50000      N                  deviceless                      no_connection_id         
             clk_isp_mm_sel          0       0        0        416000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_isp_mm_eb        0       0        0        416000000   0          0     50000      N                  deviceless                      no_connection_id         
          cpll_624m                  2       2        0        624000000   0          0     50000      Y            deviceless                      no_connection_id         
             cpll_208m               1       1        0        208000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_jenc_src_sel     0       0        0        208000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_jenc_eb       0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                clk_vdec_src_sel     0       0        0        208000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_vdec_eb       0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                clk_vpu_glb_sel      0       0        0        208000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_venc_eb       0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                pclk_top_sel         1       1        0        208000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   pclk_wdt0_eb      1       1        0        208000000   0          0     50000      Y                     4840000.watchdog                apb                      
                                                                                                                             deviceless                      no_connection_id         
                   pclk_wdt2_eb      0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_timer0_eb    0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_ax_dma_per_eb 0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_i2s_m_eb     0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_i2s_s_eb     0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_i2s_tdm_m_eb 0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   pclk_i2s_tdm_s_eb 0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
                   aclk_ax_dma_per_eb 0       0        0        208000000   0          0     50000      N                     deviceless                      no_connection_id         
             cpll_312m               2       2        0        312000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_flash_glb_sel    1       1        0        312000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   aclk_emac_eb      1       1        0        312000000   0          0     50000      Y                     104c0000.ethernet               stmmaceth                
                                                                                                                             deviceless                      no_connection_id         
                cpll_24m             1       1        0        24000000    0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_lpc_flash_eb  0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_lpc_peri_eb   0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_wdt0_sel      1       1        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_wdt0_eb    1       1        0        24000000    0          0     50000      Y                        4840000.watchdog                wdt                      
                                                                                                                                deviceless                      no_connection_id         
                   clk_timer_sel     0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_timer0_eb  0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_timer_eb   0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_lpc_mm_eb     0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_axi2csi_src_sel 0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_axi2csi_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_axi2csi_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_dpu_lite_src_sel 0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_dpu_lite_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_dpu_lite_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_gdc_src_sel   0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_gdc_eb     0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_gdc_eb    0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_ive_src_sel   0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_ive_eb     0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_ive_eb    0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_tdp_src_sel   0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_tdp_eb     0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_tdp_eb    0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_vpp_src_sel   0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_vpp_eb     0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_vpp_scl0_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_vpp_scl1_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_vpp_scl2_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_vpp_scl3_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      clk_vpp_scl4_eb 0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                      pclk_vpp_eb    0       0        0        24000000    0          0     50000      N                        deviceless                      no_connection_id         
                   clk_lpc_vpu_eb    0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_audio_tlb_eb  0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_dphyrx_tlb_eb 0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_dphytx_tlb_eb 0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_h_ssi_sel     0       0        0        24000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      clk_h_ssi_divn 0       0        0        24000000    0          0     50000      Y                        deviceless                      no_connection_id         
                         clk_h_ssi_eb 0       0        0        24000000    0          0     50000      N                           deviceless                      no_connection_id         
                   clk_cpu_24m_eb    0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                   clk_cs_apb_eb     0       0        0        24000000    0          0     50000      N                     deviceless                      no_connection_id         
                cpll_156m            0       0        0        156000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   cpll_78m          0       0        0        78000000    0          0     50000      Y                     deviceless                      no_connection_id         
                      cpll_26m       0       0        0        26000000    0          0     50000      Y                        deviceless                      no_connection_id         
                      cpll_39m       0       0        0        39000000    0          0     50000      Y                        deviceless                      no_connection_id         
                clk_bus_flash_sel    0       0        0        312000000   0          0     50000      Y                  deviceless                      no_connection_id         
 xtal_24m                            0       0        0        24000000    0          0     50000      Y   deviceless                      no_connection_id         
    clk_dbc_gpio_sel                 0       0        0        24000000    0          0     50000      Y      deviceless                      no_connection_id         
 rtc_out_32k                         0       0        0        32768       0          0     50000      Y   deviceless                      no_connection_id         
    clk_wdt2_sel                     0       0        0        32768       0          0     50000      Y      deviceless                      no_connection_id         
       clk_wdt2_eb                   0       0        0        32768       0          0     50000      N         deviceless                      no_connection_id         
 clk_emmc_eb                         1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 clk_tmr_sync_eb                     0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 clk_vi_eb                           0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
