=== pool_asic3: priming H.264 encode (6 frames @ 8000 kbps) ===
  read_img[0] rc=1 len=32
  read_img[1] rc=2 len=8
  read_img[2] rc=3 len=19439
  read_img[3] rc=4 len=11365
  read_img[4] rc=4 len=10490
  read_img[5] rc=4 len=8078
=== encoder register image base (first 0x90101010) = 0x7381c800 ===
=== FULL RAW DUMP: encoder register image, swreg0..319 (absolute phys) ===
phys=0x7381cca0  +0x4a0  swreg296  0x00000000
phys=0x7381cca4  +0x4a4  swreg297  0x00000000
phys=0x7381cca8  +0x4a8  swreg298  0x00000000
phys=0x7381ccac  +0x4ac  swreg299  0x00000000
phys=0x7381ccb0  +0x4b0  swreg300  0x00000000
phys=0x7381ccb4  +0x4b4  swreg301  0x00000000
phys=0x7381ccb8  +0x4b8  swreg302  0x00000000
phys=0x7381ccbc  +0x4bc  swreg303  0x00000000
phys=0x7381ccc0  +0x4c0  swreg304  0x00000000
phys=0x7381ccc4  +0x4c4  swreg305  0x00000000
phys=0x7381ccc8  +0x4c8  swreg306  0x00000000
phys=0x7381cccc  +0x4cc  swreg307  0x00000000
phys=0x7381ccd0  +0x4d0  swreg308  0x00000000
phys=0x7381ccd4  +0x4d4  swreg309  0x00000000
phys=0x7381ccd8  +0x4d8  swreg310  0x00000000
phys=0x7381ccdc  +0x4dc  swreg311  0x00000000
phys=0x7381cce0  +0x4e0  swreg312  0x00000000
phys=0x7381cce4  +0x4e4  swreg313  0x00000000
phys=0x7381cce8  +0x4e8  swreg314  0x00000000
phys=0x7381ccec  +0x4ec  swreg315  0x00000000
phys=0x7381ccf0  +0x4f0  swreg316  0x00000000
phys=0x7381ccf4  +0x4f4  swreg317  0x00000000
phys=0x7381ccf8  +0x4f8  swreg318  0x004047d8
phys=0x7381ccfc  +0x4fc  swreg319  0x00060460
=== EWLReadAsicConfig FUSE WORDS (raw) ===
FUSE swreg80   byte 0x140  phys=0x7381c940  raw=0x88da4280
FUSE swreg214  byte 0x358  phys=0x7381cb58  raw=0x48500800
FUSE swreg226  byte 0x388  phys=0x7381cb88  raw=0x00a19200
FUSE swreg287  byte 0x47c  phys=0x7381cc7c  raw=0x00000000
=== done ===
